B_energy,B_max,B_mean,B_min,B_std,R_energy,R_max,R_mean,R_min,R_std,S_energy,S_max,S_mean,S_min,S_std,T_psf_energy,T_psf_max,T_psf_mean,T_psf_min,T_psf_std,U_energy,U_max,U_mean,U_min,U_std,background_input_correlation,background_target_leakage,centroid_recall_5px,dataset,gt_pixels,has_target,psf_entropy_mean,psf_params,psf_residual_overlap,psf_usage,reconstruction_mae,reconstruction_psnr,residual_energy_ratio,residual_outside_fraction,residual_target_fraction,sample_id,source_false_activation,target_contrast_recall,target_energy_precision,target_proxy_energy,target_psf_zero,uncertainty_error_spearman
86914.9936581701,0.9801908731460571,0.3315543886496357,0.012990455143153667,0.15338855550487562,0.4957581253790933,0.007860272191464901,1.8911671652950032e-06,4.2194988619120334e-15,4.3091288126247224e-05,9.184524835894877,0.6896066069602966,3.503618177755309e-05,1.0793349929372198e-06,0.002129312537122822,141.8990844871696,0.7091252207756042,0.0005413020495878967,2.755934838205576e-05,0.006976141418235097,29481.907379176468,0.8954092264175415,0.11246455146475398,0.03211912512779236,0.014207686606503478,0.9994129326913804,0.10025576721798327,1.0,irstd1k,37,True,0.4481566444524745,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.018352231468000232,"[0.005916963000866124, 0.003804573177890836, 0.5377740505175552, 0.01080379563957344, 0.43672756985217487, 0.004973047970326688]",0.004862636578838675,42.10113101618077,0.003481573603954418,0.994113422600181,7.706087755330003e-05,XDU189,0.7218726375068468,3.645211486111173,0.28872982013873627,10.389054372906685,False,0.6759309860011105
70143.16860316833,0.9851424098014832,0.2675749534727796,0.0037075732834637165,0.20633782508539583,0.2743137955211288,0.00039577021379955113,1.0464240856976653e-06,4.2090258361993094e-11,5.395227976924853e-06,7.118270161389432,0.21908141672611237,2.7154045720632295e-05,4.3488500978128286e-07,0.0007493732479873115,110.14371416466201,0.3158031404018402,0.00042016492524971777,1.900885945360642e-05,0.0030497403187985813,28919.58424723521,0.9235127568244934,0.11031945895093997,0.02182890847325325,0.014941865058768055,0.9998281958414212,0.15334542665450246,1.0,irstd1k,35,True,0.44042113076649514,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.10947503754968488,"[0.005820237906273118, 0.003461639184792642, 0.500189431860008, 0.009477523693152932, 0.476721636721801, 0.004329530528474984]",0.002413941309083789,47.705839339325436,0.002484320727228045,0.9901501016855537,0.0001772404942260705,XDU935,0.8384022607650943,2.051106755946024,0.16832283477491614,7.432384669780731,False,0.5612029183751311
187045.97495403793,0.9086408615112305,0.7135237692033307,0.0040248362347483635,0.15021964102736488,2.443747497077502,0.002205806551501155,9.322156894979484e-06,1.0945100077999759e-12,2.1864866242488313e-05,38.263199395564754,0.47327733039855957,0.00014596252210832502,6.763003170817683e-07,0.001654346984293104,596.9031794017064,0.6556554436683655,0.0022770049263065584,3.39948310283944e-05,0.006662978868629999,34403.20450099651,0.9324548244476318,0.13123781013868907,0.006611417047679424,0.030449099542899285,0.9992252636881744,0.12700093340601903,1.0,irstd1k,37,True,0.5201625219631865,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.21299475537140977,"[0.01910687471835562, 0.008796206997055987, 0.653923097798156, 0.021808543627885008, 0.25723907721741757, 0.03912619957519177]",0.009583191240754019,39.0973877616949,0.004077350508364574,0.9932494559775862,0.0003873703964938545,XDU672,0.9180018202635092,4.516532380152228,0.08873421701598533,9.428954660892487,False,-0.09399687014552056
55874.57247341238,0.6165562868118286,0.2131445788322921,0.01031745970249176,0.09297386227662802,0.35941689785485825,0.0003872545494232327,1.3710666574663477e-06,6.668062505534374e-26,6.9441737597218065e-06,19.840548418482058,0.9985779523849487,7.568568580048392e-05,2.5678564270492643e-06,0.006084966614013597,308.7917025205061,1.0,0.001177946863252663,5.694720312021673e-05,0.02170335160533795,29522.907575469464,0.9357702732086182,0.11262095480144296,0.014082573354244232,0.030603302303063393,0.981579679517641,0.10728277624442277,1.0,irstd1k,312,True,0.4435234913203898,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.04528568425952017,"[0.005241992005558317, 0.003564326131173452, 0.48724345092796284, 0.00915414954935717, 0.4913460003052236, 0.0034500810983015048]",0.003018340590013935,41.65860599869604,0.001162592904502716,0.968255930591055,4.965351002459822e-05,XDU231,0.24859207072814674,1.163370761867575,0.771159257101126,197.5117751955986,False,0.6738340712483293
212014.79482948247,0.9494722485542297,0.8087722581080722,0.0002524698793422431,0.06503820548205927,6.328362625843463,0.0020801923237740993,2.4140787604688502e-05,1.7054483381073737e-09,7.872183498710121e-05,65.4966216700395,0.03292405977845192,0.0002498497835923748,1.0185178034305409e-08,0.0001619118289107639,1024.9098633444519,0.08140456676483154,0.003909720853212173,0.0009168414399027824,0.0010008838802157355,41024.396889089025,0.8916224241256714,0.15649565463672266,0.0004443539655767381,0.021414610534094485,0.9914942261507055,0.3542617230405974,0.0,irstd1k,20,True,0.6196740697170804,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.306539698159712,"[0.03477155964888246, 0.019582969905476824, 0.6145457324489598, 0.03205472733285042, 0.22420106116443636, 0.07484394947533979]",0.0043568713013875104,40.82475179561958,0.006136664125196761,0.9996368084244058,0.0007485117239963639,XDU818,0.9966011857276776,0.8554138758322818,0.004386626776932653,3.5896509885787964,False,-0.17714183441996315
74230.83628710313,0.9855157732963562,0.28316816820946933,0.004725744016468525,0.15988688781742832,0.28255961016594544,0.00030457612592726946,1.077879372276098e-06,5.466930033670714e-11,6.646138769318574e-06,6.163920595147431,0.23803763091564178,2.3513491039838528e-05,6.742235427736887e-07,0.0006715197483993839,95.6740709896294,0.4049537777900696,0.0003649676169953514,2.635510463733226e-05,0.002928907660991696,29029.70649593696,0.9145786762237549,0.11073954199194702,0.03941557556390762,0.013449674491559717,0.9996034217654503,0.3159595878599873,1.0,irstd1k,13,True,0.4424477996664109,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.10030819884203725,"[0.005642182422786468, 0.003286211154615193, 0.5252604991823517, 0.009920053167751491, 0.4514900034241096, 0.004401050817715857]",0.0030834715237908483,45.5540993058451,0.002944659565469862,0.9913100983127962,0.00020719784974895325,XDU888,0.8529664150673902,3.069423986904662,0.1530781546098294,3.8608490228652954,False,0.7471505303841072
31480.900888759643,0.496924489736557,0.12009010653976304,0.022512443363666534,0.041007307763057436,0.16765211039125688,0.0005196381243877113,6.395420470857883e-07,1.1769620730687242e-31,5.644036266732977e-06,19.471360438390093,0.9998947381973267,7.427734542232549e-05,4.411323970998637e-06,0.005567972835543217,294.68742415398447,1.0,0.0011241433111342791,7.982851820997894e-05,0.024279432295587825,28603.850812859833,0.9581531286239624,0.10911503148216184,0.020321447402238846,0.0413788069545054,0.8888962625464956,0.3985650528255109,0.5,irstd1k,883,True,0.4263261070215794,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.013207474671938278,"[0.004145033825913943, 0.0026725251523153234, 0.44395371078979906, 0.00622846864201821, 0.5411347221135969, 0.0018655393263147537]",0.013066510159895017,35.73611003553275,0.0005685915688320559,0.9333696230345276,4.34099218847684e-05,XDU146,0.12364261199397084,0.5732852453405942,0.8805467536861568,448.8709774017334,False,0.49291163858253645
23334.164998152657,0.9974424839019775,0.08901277541409552,0.00014883195399306715,0.21217144181831302,8.30553675386206,0.12709638476371765,3.168310834450554e-05,3.899124743239092e-15,0.00044935845774498413,11.024326735480798,0.5196459293365479,4.2054469053195184e-05,3.4192282782896655e-07,0.0015000918808551569,171.01233018581206,0.5409379601478577,0.0006523602683479769,8.20998684503138e-06,0.004996924536258148,20133.708416562527,0.941283643245697,0.07680400244355212,0.0389486663043499,0.05043556393475189,0.9991769449532214,0.10235202539897507,1.0,irstd1k,24,True,0.30150598590156896,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.05529533337202195,"[0.010326962119162252, 0.00663242147764509, 0.1568680287395381, 0.011710140126930219, 0.8064976186271618, 0.007964829721185826]",0.0031191407128104975,40.825563309784776,0.046317396562921415,0.9999342393683482,2.245787884690435e-05,XDU48,0.8444369219129985,2.0216111302476203,0.15317201285525817,12.03004705044441,False,0.5475726161295782
57481.93237273209,0.9653139114379883,0.21927617024510226,0.011395894922316074,0.1498314022247533,0.39414201154554085,0.0028929240070283413,1.5035324537107119e-06,6.70258129367057e-22,1.987130747309304e-05,13.656858815169812,0.9883649349212646,5.209678197925496e-05,1.3794477808914962e-06,0.004567787547943636,210.26777096999285,1.0,0.0008021078909682955,3.055181150557473e-05,0.014991471227198903,28762.780895944685,0.9350476264953613,0.10972130163553118,0.03429471701383591,0.02746152782981153,0.9976289162682276,0.03819478380991638,1.0,irstd1k,116,True,0.4332816650822735,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.029853081916892586,"[0.004817244188378672, 0.003512499141560656, 0.47667591476105997, 0.007846953548154971, 0.5042477932231708, 0.002899595105277205]",0.0018837317190083525,37.93508441287004,0.00187096948834829,0.9904136130872008,3.1466457448306224e-05,XDU492,0.41994685395760517,3.8239920068540476,0.6022137124961052,31.400954842567444,False,-0.002992672419920905
52201.299462846706,0.9907802939414978,0.1991321543229931,0.00011912690388271585,0.3465240319550165,8.308214137598899,0.03445522114634514,3.169332175292549e-05,2.1128359396064726e-16,0.00017042435224893192,24.106657225584215,0.6524795293807983,9.195959940179525e-05,1.5780608464410761e-07,0.001991811682846747,377.3431321951948,0.8009860515594482,0.0014394498145873826,5.667734967573779e-06,0.007054961185467219,25665.412477350794,0.9334701299667358,0.09790577879848783,0.01317483838647604,0.06779309387855273,0.9992451803710114,0.046301315554159346,1.0,irstd1k,25,True,0.38262476927265254,"{""sigma_x"": [0.8063955307006836, 1.5258724689483643, 3.357238292694092, 2.957581043243408, 3.31925106048584, 3.789051055908203], ""sigma_y"": [3.8427276611328125, 3.48295259475708, 3.6895713806152344, 1.9681569337844849, 1.3319789171218872, 0.751864492893219], ""theta"": [-1.4408117532730103, -0.5596922039985657, 0.670941948890686, -0.6072102189064026, 0.4068790078163147, 1.4659638404846191]}",0.1354127015725852,"[0.01662582276296102, 0.007235575198093005, 0.17700798480373692, 0.02477449173403027, 0.7426101910699496, 0.03174596039326426]",0.005052687817516777,36.8446938074239,0.02154332978894728,0.9999798348739461,5.794428438627155e-06,XDU241,0.9111885821272211,2.987364339493988,0.08884610676396872,9.678539494983852,False,0.6503686784985958
