[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 20/150 loss=-1.80337 presence=0.3229 amplitude=1.2457 sparse=0.9818 val_score=0.15994 best=0.15994 centroid=1.000 falseS=0.032 massX=1.502 outsideT=0.040 recall=1.230 precision=0.970 bad=0 lr=1.93e-04 peak_mb=7362 elapsed=766.1s
[A] epoch 21/150 loss=-1.91358 presence=0.2762 amplitude=1.2393 sparse=1.0061 val_score=0.16642 best=0.15994 centroid=1.000 falseS=0.027 massX=0.830 outsideT=0.025 recall=0.766 precision=0.974 bad=1 lr=1.93e-04 peak_mb=7362 elapsed=804.5s
[A] epoch 22/150 loss=-1.92033 presence=0.2627 amplitude=1.2737 sparse=0.9830 val_score=0.31208 best=0.15994 centroid=1.000 falseS=0.020 massX=1.090 outsideT=0.015 recall=0.968 precision=0.981 bad=2 lr=1.92e-04 peak_mb=7362 elapsed=842.0s
[A] epoch 23/150 loss=-1.91686 presence=0.2862 amplitude=1.2069 sparse=0.9769 val_score=0.24633 best=0.15994 centroid=1.000 falseS=0.037 massX=1.109 outsideT=0.041 recall=0.879 precision=0.964 bad=3 lr=1.91e-04 peak_mb=7362 elapsed=879.7s
[A] epoch 24/150 loss=-1.88713 presence=0.2743 amplitude=1.2610 sparse=1.0134 val_score=0.11952 best=0.11952 centroid=1.000 falseS=0.016 massX=1.087 outsideT=0.015 recall=0.986 precision=0.981 bad=0 lr=1.90e-04 peak_mb=7362 elapsed=917.5s
[A] epoch 25/150 loss=-2.06846 presence=0.2464 amplitude=1.2108 sparse=0.9825 val_score=0.23697 best=0.11952 centroid=1.000 falseS=0.014 massX=1.326 outsideT=0.020 recall=1.111 precision=0.986 bad=1 lr=1.89e-04 peak_mb=7362 elapsed=956.2s
[A] epoch 26/150 loss=-2.04899 presence=0.2093 amplitude=1.2035 sparse=0.9687 val_score=0.18323 best=0.11952 centroid=1.000 falseS=0.014 massX=1.603 outsideT=0.023 recall=1.367 precision=0.987 bad=2 lr=1.88e-04 peak_mb=7362 elapsed=994.2s
[A] epoch 27/150 loss=-2.11244 presence=0.2688 amplitude=1.1998 sparse=0.9481 val_score=0.19341 best=0.11952 centroid=1.000 falseS=0.018 massX=1.115 outsideT=0.017 recall=0.963 precision=0.982 bad=3 lr=1.87e-04 peak_mb=7362 elapsed=1032.2s
[A] epoch 28/150 loss=-2.12497 presence=0.2263 amplitude=1.2061 sparse=0.9612 val_score=0.19430 best=0.11952 centroid=1.000 falseS=0.019 massX=1.010 outsideT=0.015 recall=0.851 precision=0.980 bad=4 lr=1.86e-04 peak_mb=7362 elapsed=1070.4s
[A] epoch 29/150 loss=-2.15541 presence=0.2169 amplitude=1.2017 sparse=0.9538 val_score=0.15089 best=0.11952 centroid=1.000 falseS=0.022 massX=1.450 outsideT=0.033 recall=1.140 precision=0.976 bad=5 lr=1.85e-04 peak_mb=7362 elapsed=1108.8s
