[A] device=cuda seed=42 params=411,357 train=720 val=80
[A] epoch 18/150 loss=4.04565 rec=0.7695 bg=0.2468 sp=2.3310 ctr=0.1412 psf=-0.0995 ind=0.0000 flip=0.2492 amp=0.4074 val_score=1.49115 best=1.28997 centroid=1.000 falseS=0.164 massX=1.216 outsideT=0.452 recall=0.938 precision=0.687 bad=4 lr=1.95e-04 peak_mb=13830 elapsed=985.5s
[A] epoch 19/150 loss=4.13528 rec=0.8024 bg=0.2523 sp=2.4089 ctr=0.1213 psf=-0.0995 ind=0.0000 flip=0.2351 amp=0.4148 val_score=1.39449 best=1.28997 centroid=1.000 falseS=0.092 massX=1.964 outsideT=0.444 recall=1.638 precision=0.806 bad=5 lr=1.94e-04 peak_mb=13830 elapsed=1040.4s
[A] epoch 20/150 loss=4.18842 rec=0.8319 bg=0.2640 sp=2.4053 ctr=0.1405 psf=-0.0995 ind=0.0001 flip=0.2359 amp=0.4103 val_score=1.58006 best=1.28997 centroid=1.000 falseS=0.194 massX=1.091 outsideT=0.454 recall=0.723 precision=0.635 bad=6 lr=1.93e-04 peak_mb=13830 elapsed=1095.1s
[A] epoch 21/150 loss=4.12414 rec=0.8319 bg=0.2550 sp=2.3836 ctr=0.1212 psf=-0.0996 ind=0.0001 flip=0.2161 amp=0.4159 val_score=1.42338 best=1.28997 centroid=1.000 falseS=0.162 massX=1.268 outsideT=0.482 recall=0.851 precision=0.684 bad=7 lr=1.93e-04 peak_mb=13830 elapsed=1149.6s
[A] epoch 22/150 loss=4.30273 rec=0.8961 bg=0.2665 sp=2.4792 ctr=0.1254 psf=-0.0997 ind=0.0001 flip=0.2185 amp=0.4167 val_score=1.45502 best=1.28997 centroid=1.000 falseS=0.143 massX=2.222 outsideT=0.662 recall=1.619 precision=0.731 bad=8 lr=1.92e-04 peak_mb=13830 elapsed=1204.1s
[A] epoch 23/150 loss=4.45256 rec=0.9788 bg=0.2793 sp=2.5415 ctr=0.1239 psf=-0.0998 ind=0.0001 flip=0.2246 amp=0.4042 val_score=1.52238 best=1.28997 centroid=1.000 falseS=0.173 massX=1.362 outsideT=0.602 recall=0.898 precision=0.628 bad=9 lr=1.91e-04 peak_mb=13830 elapsed=1258.8s
[A] epoch 24/150 loss=4.51955 rec=0.9804 bg=0.2867 sp=2.5849 ctr=0.1225 psf=-0.0998 ind=0.0001 flip=0.2229 amp=0.4219 val_score=1.57079 best=1.28997 centroid=1.000 falseS=0.211 massX=2.009 outsideT=1.049 recall=1.268 precision=0.589 bad=10 lr=1.90e-04 peak_mb=13830 elapsed=1313.3s
[A] epoch 25/150 loss=4.46063 rec=1.0314 bg=0.2865 sp=2.5332 ctr=0.0813 psf=-0.0999 ind=0.0001 flip=0.2186 amp=0.4094 val_score=1.37371 best=1.28997 centroid=1.000 falseS=0.157 massX=1.887 outsideT=0.862 recall=1.285 precision=0.623 bad=11 lr=1.89e-04 peak_mb=13830 elapsed=1367.9s
[A] epoch 26/150 loss=4.60602 rec=1.0492 bg=0.2854 sp=2.6095 ctr=0.1190 psf=-0.0998 ind=0.0001 flip=0.2271 amp=0.4157 val_score=1.44832 best=1.28997 centroid=1.000 falseS=0.233 massX=2.408 outsideT=1.585 recall=1.450 precision=0.539 bad=12 lr=1.88e-04 peak_mb=13830 elapsed=1422.8s
[A] epoch 27/150 loss=4.69910 rec=1.0839 bg=0.2789 sp=2.6527 ctr=0.1192 psf=-0.0998 ind=0.0001 flip=0.2419 amp=0.4222 val_score=1.48904 best=1.28997 centroid=1.000 falseS=0.294 massX=1.632 outsideT=1.483 recall=0.919 precision=0.421 bad=13 lr=1.87e-04 peak_mb=13830 elapsed=1477.4s
[A] epoch 28/150 loss=4.68035 rec=1.1055 bg=0.2778 sp=2.5932 ctr=0.1318 psf=-0.0998 ind=0.0001 flip=0.2396 amp=0.4321 val_score=1.37468 best=1.28997 centroid=1.000 falseS=0.166 massX=1.398 outsideT=1.031 recall=0.980 precision=0.514 bad=14 lr=1.86e-04 peak_mb=13830 elapsed=1531.8s
[A] epoch 29/150 loss=4.53536 rec=1.0185 bg=0.2777 sp=2.5449 ctr=0.1308 psf=-0.0998 ind=0.0001 flip=0.2356 amp=0.4276 val_score=1.55909 best=1.28997 centroid=1.000 falseS=0.082 massX=2.071 outsideT=0.941 recall=1.656 precision=0.680 bad=15 lr=1.85e-04 peak_mb=13830 elapsed=1586.5s
[A] epoch 30/150 loss=4.56981 rec=1.0287 bg=0.2805 sp=2.5386 ctr=0.1593 psf=-0.0997 ind=0.0001 flip=0.2290 amp=0.4332 val_score=1.34752 best=1.28997 centroid=1.000 falseS=0.155 massX=1.965 outsideT=1.321 recall=1.349 precision=0.534 bad=16 lr=1.84e-04 peak_mb=13830 elapsed=1640.9s
[A] epoch 31/150 loss=4.66727 rec=1.0829 bg=0.2837 sp=2.5867 ctr=0.1327 psf=-0.0995 ind=0.0001 flip=0.2481 amp=0.4326 val_score=1.25424 best=1.25424 centroid=1.000 falseS=0.135 massX=1.349 outsideT=1.058 recall=0.979 precision=0.516 bad=0 lr=1.82e-04 peak_mb=13830 elapsed=1695.2s
