B_energy,B_max,B_mean,B_min,B_std,R_energy,R_max,R_mean,R_min,R_std,S_energy,S_max,S_mean,S_min,S_std,T_psf_energy,T_psf_max,T_psf_mean,T_psf_min,T_psf_std,U_energy,U_max,U_mean,U_min,U_std,amplitude_centroid_mae,background_input_correlation,background_target_leakage,centroid_recall_5px,dataset,gt_pixels,has_target,presence_at_centroid,presence_false_activation,psf_entropy_mean,psf_params,psf_residual_overlap,psf_usage,reconstruction_mae,reconstruction_psnr,residual_energy_ratio,residual_meaningful,residual_outside_fraction,residual_target_fraction,sample_id,source_false_activation,source_noncenter_mass_ratio,target_contrast_recall,target_energy_precision,target_outside_energy_ratio,target_proxy_energy,target_psf_zero,uncertainty_error_spearman
83599.48871205933,0.9727986454963684,0.3189067409975408,0.014748936519026756,0.15547423056715837,0.011378305016544745,4.134077698836336e-06,4.340478903406046e-08,9.983899387513705e-19,5.923517274561401e-08,0.7822619072590549,0.27283716201782227,2.984092358623714e-06,1.0384108850569618e-10,0.0006869417971396566,12.512799164316997,0.37398725748062134,4.773254075743483e-05,2.7766167143283838e-09,0.002782776473016646,2573.9592523030587,0.9915366172790527,0.009818875321590648,0.000499475805554539,0.012262011940243345,0.37647801637649536,0.9984148557227712,0.015399155749003206,1.0,irstd1k,37,True,0.999997615814209,0.15158000765145305,0.07394633268635431,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.008958322782294685,"[0.0026183342729766412, 0.9772259248908846, 0.0007156630832236555, 0.0010280379376934878, 0.013490547909821099, 0.004921492079066336]",0.010493764634276204,38.407454099477015,0.0009085071689861821,False,0.9982248271297642,1.675857964991756e-06,XDU189,0.004722027158609232,0.7845561720979158,1.1601255634217083,0.9948619804083972,0.006193967891241446,10.389054372906685,False,0.2700856748396797
65897.40009154798,0.9850202798843384,0.2513786319410247,0.006678287405520678,0.20207829342013323,0.013539830836624363,4.32767728852923e-06,5.165035566949601e-08,7.185003816004324e-23,7.870814121390533e-08,0.5075944483949961,0.07871696352958679,1.936319154338822e-06,7.824781933507552e-10,0.0002720048706127582,8.116299644833926,0.12122549116611481,3.096122606214114e-05,1.6845852712776832e-08,0.0011367442428381357,2518.8507178135333,0.9977568984031677,0.009608652945760854,0.0005050224135629833,0.017444368081868403,0.19727056100964546,0.9991326424135151,0.0,1.0,irstd1k,35,True,0.9999780654907227,0.4116047974867426,0.08557654014805927,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.01865377510606991,"[0.003255657946542534, 0.9728216076923744, 0.0009042795203671808, 0.0012600313843725078, 0.015726109125332198, 0.006032314554800022]",0.01471172074198357,35.25914467218081,0.0016654487308321172,False,0.997601136832253,5.816092487200909e-06,XDU935,0.2246810373074607,0.9420653007195048,0.7513793094435662,0.7744537218181727,0.2467115357213189,7.432384669780731,False,0.8328906434124523
180891.95886126813,0.9440513253211975,0.6900480608416295,0.00911197904497385,0.1498865043495447,0.04508187571035378,8.699926183908246e-06,1.7197370800153268e-07,9.214556794354034e-20,1.8778316294770653e-07,0.8067640874939077,0.1281861811876297,3.077560758567458e-06,1.3986725840020586e-11,0.0004513997258744696,12.898319783916357,0.1957939714193344,4.9203185210862566e-05,5.1904711639849666e-09,0.0017840352537103852,9428.59821342968,0.9998749494552612,0.03596724782344696,0.0002705095976125449,0.016741881464334595,0.19420335441827774,0.9974610478220558,0.2693693696484243,1.0,irstd1k,37,True,1.0,0.3381273742395361,0.10381976631877876,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.0583539322126218,"[0.004181859532121024, 0.9664113089730494, 0.0013233138922195548, 0.0019857961435084392, 0.01798225712854515, 0.00811546421545728]",0.03477726793790126,28.871860991846127,0.003483000597205754,False,0.9974759345611298,1.1796274596202314e-05,XDU672,0.18864455947410674,1.028086306168286,1.0230436557972593,0.809415935752426,0.2616203155278467,9.428954660892487,False,-0.05564708525992833
50689.440464646555,0.5976380705833435,0.19336486993654844,0.014431397430598736,0.08461615966924664,0.026814920758363423,8.190633707272355e-06,1.0229080489488e-07,8.443572764666327e-19,2.1329589992068014e-07,13.447450732918234,0.7998279929161072,5.129795354049009e-05,5.85853865420205e-10,0.004850363486979816,188.43124526949478,1.0,0.0007188081560878555,1.270581062584597e-08,0.021177464738046402,1958.3940569168772,0.9795655012130737,0.007470680453937062,0.0007403510389849544,0.01714439967274376,0.33295661211013794,0.9727345986234547,0.015239842720536143,1.0,irstd1k,312,True,0.8834343353907267,0.05561414171821735,0.10636929481805879,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.004794596099709439,"[0.004797025549368006, 0.964177002441744, 0.001714403127074049, 0.0022135740260159076, 0.019155358068353126, 0.00794263701144926]",0.022415508100486647,31.53746838518678,0.0001422858790507187,False,0.9957246060007765,6.124370874023817e-07,XDU231,0.0010936186459587344,3.8800801653768127,0.9477595875558484,0.9989431015070863,0.0010084514687553503,197.5117751955986,False,0.8157078160524182
200067.51730344258,0.9672958254814148,0.7631970111978248,0.013867389410734177,0.06399020879953976,0.06006328210233813,1.791600698197726e-05,2.2912323800025225e-07,3.541494250958085e-16,1.8516588844564065e-07,0.04811481546985166,0.003398339496925473,1.835434550088946e-07,3.200767428879203e-10,1.2712020469496762e-05,0.7499187570309971,0.010672682896256447,2.8607130318870433e-06,2.8316665634520177e-07,8.041740847622485e-05,12233.305969049165,0.9919036030769348,0.04666635882968584,0.0006708598812110722,0.014063306941900366,0.2209524584468454,0.9833444312105867,0.030041785424002085,0.0,irstd1k,20,True,0.9992997646331787,0.4347296318828211,0.11102332716453134,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.0230840464223858,"[0.00454247351654824, 0.9638994572180906, 0.0014342322446315725, 0.002238228200797998, 0.0188956390836314, 0.008989969647372753]",0.052698922626341016,25.36069699263109,0.07415384440697556,False,0.9997957706634478,3.8473980164376674e-05,XDU818,0.5365474494566125,0.19931286958067998,0.08881940192498738,0.4409222786990696,0.12615235134952055,3.5896509885787964,False,0.24587648724458921
69723.36558950879,0.9716708064079285,0.2659735320644714,0.005692448001354933,0.152798906435446,0.010679251997513378,3.03894330500043e-06,4.07381133938346e-08,2.461264332122958e-18,6.606372944258484e-08,0.17465884863405354,0.06894524395465851,6.662706323015348e-07,3.0759678137926016e-10,0.00016191590612494742,2.7900493615707096,0.09166944026947021,1.0643193670542563e-05,6.328595425486583e-09,0.0006315832994759019,2426.320544614544,0.9888895750045776,0.009255678347070861,0.0004197883536107838,0.015809358577401827,0.19930141046643257,0.9984660329747503,0.008555862697269215,1.0,irstd1k,13,True,0.9999958276748657,0.1550577316148651,0.07620542138096198,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.011773604082259252,"[0.0027443172544394656, 0.9763322484254284, 0.0007622706824569891, 0.0010818744588231288, 0.013957033615457026, 0.005122255535355613]",0.015351434618846582,34.40982346843559,0.003813026348135762,False,0.9989223124534958,4.830438276652048e-06,XDU888,0.02925085395487498,0.5497544284472434,0.6171124991923475,0.968483185295707,0.022862858461461535,3.8608490228652954,False,0.306513840000209
32868.03826499637,0.5211600661277771,0.12538161569593953,0.005304047372192144,0.04099560467260449,0.019245922887609148,5.244785825198051e-06,7.341736941379222e-08,1.1448102180038574e-22,1.6924304233116645e-07,20.086669125763365,0.9321125745773315,7.662456178956362e-05,1.313264080815557e-10,0.006240083888332469,228.9146170690799,1.0,0.000873239963795013,3.2857744969305713e-08,0.025036022309965874,1405.6230774529977,0.9985917210578918,0.005362026510059348,0.0011914365459233522,0.01731850711925457,0.7876208983361721,0.8204409451356043,0.3175303641992197,0.5,irstd1k,883,True,0.44203606992959976,0.04025538442688179,0.11796760847720122,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.008631620651682737,"[0.005325647509500819, 0.9599186757062625, 0.0017535584253187825, 0.002194619380876839, 0.02175573460548117, 0.009051764403721463]",0.01871303219425613,32.731506862655436,8.406761077667406e-05,False,0.9978313176970061,1.8253860523656165e-07,XDU146,0.0003299784779351855,10.006877009375785,0.5093993927711928,0.9995522074254025,0.00022838385434298926,448.8709774017334,False,0.8134843611569357
20069.54733540502,0.9452508687973022,0.07655924734270103,0.0014161012368276715,0.18857976319160188,0.06793078886570719,1.898948903544806e-05,2.591353945377624e-07,1.7823366124208188e-18,5.265118379933607e-07,0.9303594501058043,0.2520771622657776,3.5490396503669904e-06,2.2254388554188154e-08,0.0007607650613604324,14.81383031851658,0.4647822976112366,5.651027800947792e-05,1.3355627288547112e-06,0.0032432872487591006,1831.1559653684963,0.9474881291389465,0.00698530565402411,0.0007581099634990096,0.017846478646695547,0.5348832160234451,0.99518386391287,0.11941667284474218,1.0,irstd1k,24,True,0.999997615814209,0.4409711537428722,0.3219268410945588,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.0027503214991565538,"[0.024111331418280257, 0.864953078039326, 0.008147117481466154, 0.009403467475779581, 0.060235938961152174, 0.033149060095939875]",0.01526163611066833,30.255941949034998,0.004564700936639096,False,0.9997049086914204,1.5252498633512355e-06,XDU48,0.06807315825324534,0.9487777838431178,1.0924831708380365,0.9326640016985374,0.08329794858220839,12.03004705044441,False,0.8467960987965425
53257.546154091135,0.9710884690284729,0.2031614156879087,0.01117013394832611,0.1446614523344205,0.01521787685857122,4.851714038522914e-06,5.8051593241009595e-08,2.718937220855225e-21,8.266417811196238e-08,2.474582915282566,0.5566520094871521,9.439784680490746e-06,6.905870320039753e-10,0.001503774252169466,39.58546801673581,0.5964433550834656,0.00015100657660192799,1.5350957838222712e-08,0.006122304745127105,1980.1950803718064,0.9837796092033386,0.007553844758498407,0.0006125808577053249,0.014354225368639855,0.8633749634027481,0.9960266933410747,0.009201360447175526,0.5,irstd1k,116,True,0.9915511608123779,0.09055118863164317,0.09523124027582242,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.009500537809720174,"[0.003848096350697716, 0.9691019298862855, 0.0011740441696878046, 0.0015635845392892866, 0.01744979361498672, 0.006862551428495678]",0.017603992620713882,33.26672398550692,0.0003842831636669401,False,0.9961944342663884,1.4914476095345018e-06,XDU492,0.0032291327591142728,1.318094525962367,1.2365806224615519,0.9966812710055549,0.004185348666430339,31.400954842567444,False,0.8810913410587496
50124.92522862321,0.9601476192474365,0.19121141520928653,0.0006289895973168314,0.3326580048833662,0.0965526150463374,3.5705383197637275e-05,3.683189966062065e-07,5.3026168322250523e-17,8.715989742726068e-07,1.1147667254645541,0.35320988297462463,4.25249757943937e-06,4.37637126537993e-09,0.0008064323717979607,17.801626327725216,0.45905739068984985,6.79078152760514e-05,6.9861113161096e-07,0.0029677168741690687,4061.8358288345044,0.9115975499153137,0.01549467402967264,0.0005668457015417516,0.02663030401493575,0.25169607996940613,0.9983095545750351,0.12119215853468572,1.0,irstd1k,25,True,0.999993085861206,0.7336177672552547,0.27259156646525184,"{""sigma_x"": [0.8611305356025696, 1.7577542066574097, 2.0651984214782715, 2.8702902793884277, 3.2847752571105957, 3.730559825897217], ""sigma_y"": [3.734592914581299, 3.426058292388916, 2.9166688919067383, 2.0339694023132324, 1.5699670314788818, 0.850566565990448], ""theta"": [-1.3769255876541138, -0.749259352684021, 0.5267988443374634, -0.4324800670146942, 0.7718338370323181, 1.3662879467010498]}",0.008063419248900333,"[0.018658913618911477, 0.8894468472230894, 0.006503947332444859, 0.007610874791478928, 0.050791681270609006, 0.026987725403357032]",0.016288098084379588,30.45531507694922,0.0053945496553062244,False,0.999660852789441,2.9496750418264436e-06,XDU241,0.3173287274882952,1.2589622395911355,1.1470128677714684,0.6803065765938576,0.591197680385135,9.678539494983852,False,0.8561106157735918
