[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 20/150 loss=-1.59812 presence=0.3815 amplitude=1.2396 sparse=1.0086 val_score=0.35834 best=0.29225 centroid=1.000 falseS=0.036 massX=1.286 outsideT=0.042 recall=1.078 precision=0.963 bad=2 lr=1.93e-04 peak_mb=7354 elapsed=810.2s
[A] epoch 21/150 loss=-1.74502 presence=0.3263 amplitude=1.2067 sparse=0.9960 val_score=0.29177 best=0.29177 centroid=1.000 falseS=0.013 massX=1.035 outsideT=0.013 recall=0.897 precision=0.986 bad=0 lr=1.93e-04 peak_mb=7354 elapsed=850.8s
[A] epoch 22/150 loss=-1.84217 presence=0.3241 amplitude=1.2397 sparse=0.9941 val_score=0.36222 best=0.29177 centroid=1.000 falseS=0.024 massX=1.094 outsideT=0.018 recall=0.901 precision=0.975 bad=1 lr=1.92e-04 peak_mb=7354 elapsed=891.0s
[A] epoch 23/150 loss=-1.84014 presence=0.3244 amplitude=1.2066 sparse=0.9824 val_score=0.31559 best=0.29177 centroid=1.000 falseS=0.027 massX=1.355 outsideT=0.034 recall=1.107 precision=0.972 bad=2 lr=1.91e-04 peak_mb=7354 elapsed=931.1s
[A] epoch 24/150 loss=-1.87892 presence=0.3510 amplitude=1.2219 sparse=0.9852 val_score=0.18802 best=0.18802 centroid=1.000 falseS=0.022 massX=1.291 outsideT=0.021 recall=1.042 precision=0.980 bad=0 lr=1.90e-04 peak_mb=7354 elapsed=970.5s
[A] epoch 25/150 loss=-1.93912 presence=0.2614 amplitude=1.2010 sparse=0.9643 val_score=0.28500 best=0.18802 centroid=1.000 falseS=0.015 massX=1.544 outsideT=0.023 recall=1.305 precision=0.985 bad=1 lr=1.89e-04 peak_mb=7354 elapsed=1010.9s
[A] epoch 26/150 loss=-2.04734 presence=0.2482 amplitude=1.1941 sparse=0.9813 val_score=0.22068 best=0.18802 centroid=1.000 falseS=0.015 massX=1.071 outsideT=0.019 recall=1.041 precision=0.985 bad=2 lr=1.88e-04 peak_mb=7354 elapsed=1051.0s
[A] epoch 27/150 loss=-2.01048 presence=0.3108 amplitude=1.2096 sparse=0.9714 val_score=0.26259 best=0.18802 centroid=1.000 falseS=0.017 massX=1.074 outsideT=0.017 recall=0.967 precision=0.983 bad=3 lr=1.87e-04 peak_mb=7354 elapsed=1091.3s
[A] epoch 28/150 loss=-1.95961 presence=0.2593 amplitude=1.2005 sparse=0.9525 val_score=0.32019 best=0.18802 centroid=1.000 falseS=0.015 massX=1.003 outsideT=0.012 recall=0.961 precision=0.985 bad=4 lr=1.86e-04 peak_mb=7354 elapsed=1131.7s
[A] epoch 29/150 loss=-1.97499 presence=0.2415 amplitude=1.1887 sparse=0.9515 val_score=0.16923 best=0.16923 centroid=1.000 falseS=0.023 massX=1.220 outsideT=0.019 recall=0.976 precision=0.979 bad=0 lr=1.85e-04 peak_mb=7354 elapsed=1172.3s
[A] epoch 30/150 loss=-2.00755 presence=0.2077 amplitude=1.1659 sparse=0.9667 val_score=0.30383 best=0.16923 centroid=1.000 falseS=0.024 massX=0.965 outsideT=0.016 recall=0.748 precision=0.974 bad=1 lr=1.84e-04 peak_mb=7354 elapsed=1212.7s
[A] epoch 31/150 loss=-1.96787 presence=0.2300 amplitude=1.1966 sparse=0.9651 val_score=0.28977 best=0.16923 centroid=1.000 falseS=0.013 massX=1.329 outsideT=0.015 recall=1.152 precision=0.987 bad=2 lr=1.82e-04 peak_mb=7354 elapsed=1253.0s
[A] epoch 32/150 loss=-2.03304 presence=0.2249 amplitude=1.1733 sparse=0.9561 val_score=0.26512 best=0.16923 centroid=1.000 falseS=0.028 massX=1.364 outsideT=0.027 recall=1.119 precision=0.976 bad=3 lr=1.81e-04 peak_mb=7354 elapsed=1293.8s
