[A] device=cuda seed=42 params=411,357 train=720 val=80
[A] epoch 18/150 loss=4.07552 rec=0.7866 bg=0.0079 sp=2.4475 ctr=0.2708 psf=-0.0979 ind=0.0001 flip=0.2531 amp=0.4073 val_score=2.09180 best=0.72127 centroid=1.000 falseS=0.244 massX=1.715 outsideT=0.804 recall=1.025 precision=0.619 bad=9 lr=1.95e-04 peak_mb=13830 elapsed=968.4s
[A] epoch 19/150 loss=4.52597 rec=0.9949 bg=0.0099 sp=2.6881 ctr=0.2796 psf=-0.0983 ind=0.0002 flip=0.2507 amp=0.4010 val_score=2.24545 best=0.72127 centroid=1.000 falseS=0.290 massX=1.853 outsideT=1.011 recall=1.063 precision=0.571 bad=10 lr=1.94e-04 peak_mb=13830 elapsed=1022.0s
[A] epoch 20/150 loss=4.56609 rec=1.0009 bg=0.0095 sp=2.6939 ctr=0.3146 psf=-0.0982 ind=0.0002 flip=0.2469 amp=0.3982 val_score=2.42539 best=0.72127 centroid=1.000 falseS=0.358 massX=3.159 outsideT=1.970 recall=1.567 precision=0.512 bad=11 lr=1.93e-04 peak_mb=13830 elapsed=1075.7s
[A] epoch 21/150 loss=4.35367 rec=0.9957 bg=0.0088 sp=2.5453 ctr=0.2482 psf=-0.0978 ind=0.0002 flip=0.2537 amp=0.3996 val_score=2.43955 best=0.72127 centroid=1.000 falseS=0.204 massX=1.082 outsideT=0.624 recall=0.743 precision=0.559 bad=12 lr=1.93e-04 peak_mb=13830 elapsed=1130.2s
[A] epoch 22/150 loss=4.20350 rec=0.8481 bg=0.0078 sp=2.4604 ctr=0.3042 psf=-0.0976 ind=0.0001 flip=0.2640 amp=0.4164 val_score=2.42443 best=0.72127 centroid=1.000 falseS=0.198 massX=1.649 outsideT=0.864 recall=1.194 precision=0.609 bad=13 lr=1.92e-04 peak_mb=13830 elapsed=1183.9s
[A] epoch 23/150 loss=4.38148 rec=1.0431 bg=0.0090 sp=2.5540 ctr=0.2498 psf=-0.0979 ind=0.0002 flip=0.2403 amp=0.3829 val_score=2.66703 best=0.72127 centroid=1.000 falseS=0.219 massX=1.030 outsideT=0.846 recall=0.719 precision=0.499 bad=14 lr=1.91e-04 peak_mb=13830 elapsed=1237.7s
[A] epoch 24/150 loss=4.09777 rec=0.8809 bg=0.0076 sp=2.3937 ctr=0.2563 psf=-0.0978 ind=0.0001 flip=0.2483 amp=0.4087 val_score=1.38632 best=0.72127 centroid=1.000 falseS=0.128 massX=1.614 outsideT=0.842 recall=1.262 precision=0.623 bad=15 lr=1.90e-04 peak_mb=13830 elapsed=1291.5s
[A] epoch 25/150 loss=4.01866 rec=0.8859 bg=0.0076 sp=2.3733 ctr=0.2337 psf=-0.0978 ind=0.0001 flip=0.2208 amp=0.3952 val_score=0.51357 best=0.51357 centroid=1.000 falseS=0.126 massX=1.564 outsideT=0.762 recall=1.139 precision=0.640 bad=0 lr=1.89e-04 peak_mb=13830 elapsed=1344.8s
[A] epoch 26/150 loss=4.00827 rec=0.8805 bg=0.0068 sp=2.3609 ctr=0.2225 psf=-0.0975 ind=0.0000 flip=0.2323 amp=0.4028 val_score=0.53799 best=0.51357 centroid=1.000 falseS=0.176 massX=1.677 outsideT=1.016 recall=1.121 precision=0.578 bad=1 lr=1.88e-04 peak_mb=13830 elapsed=1398.8s
[A] epoch 27/150 loss=4.11788 rec=0.9530 bg=0.0055 sp=2.4065 ctr=0.2382 psf=-0.0976 ind=0.0000 flip=0.2170 amp=0.3951 val_score=0.65436 best=0.51357 centroid=1.000 falseS=0.255 massX=1.753 outsideT=1.340 recall=1.162 precision=0.493 bad=2 lr=1.87e-04 peak_mb=13830 elapsed=1452.2s
[A] epoch 28/150 loss=4.13096 rec=1.0109 bg=0.0059 sp=2.3837 ctr=0.2262 psf=-0.0980 ind=0.0001 flip=0.2129 amp=0.3893 val_score=0.61482 best=0.51357 centroid=1.000 falseS=0.183 massX=1.681 outsideT=1.209 recall=1.195 precision=0.532 bad=3 lr=1.86e-04 peak_mb=13830 elapsed=1505.1s
[A] epoch 29/150 loss=4.45300 rec=1.1281 bg=0.0063 sp=2.5861 ctr=0.2287 psf=-0.0982 ind=0.0001 flip=0.2152 amp=0.3868 val_score=0.75734 best=0.51357 centroid=1.000 falseS=0.247 massX=3.097 outsideT=2.276 recall=1.750 precision=0.493 bad=4 lr=1.85e-04 peak_mb=13830 elapsed=1558.0s
[A] epoch 30/150 loss=4.53389 rec=1.2711 bg=0.0061 sp=2.5757 ctr=0.1959 psf=-0.0985 ind=0.0001 flip=0.2101 amp=0.3735 val_score=0.81558 best=0.51357 centroid=1.000 falseS=0.404 massX=2.443 outsideT=2.709 recall=1.156 precision=0.329 bad=5 lr=1.84e-04 peak_mb=13830 elapsed=1611.3s
[A] epoch 31/150 loss=4.71150 rec=1.3672 bg=0.0069 sp=2.6430 ctr=0.2196 psf=-0.0986 ind=0.0001 flip=0.2146 amp=0.3587 val_score=0.89536 best=0.51357 centroid=1.000 falseS=0.466 massX=2.997 outsideT=4.058 recall=1.314 precision=0.297 bad=6 lr=1.82e-04 peak_mb=13830 elapsed=1664.8s
[A] epoch 32/150 loss=5.05320 rec=1.5509 bg=0.0077 sp=2.8880 ctr=0.1681 psf=-0.0989 ind=0.0002 flip=0.1976 amp=0.3395 val_score=1.02492 best=0.51357 centroid=1.000 falseS=0.647 massX=5.666 outsideT=7.317 recall=1.358 precision=0.212 bad=7 lr=1.81e-04 peak_mb=13830 elapsed=1717.9s
[A] epoch 33/150 loss=5.68067 rec=1.8262 bg=0.0094 sp=3.2762 ctr=0.1478 psf=-0.0992 ind=0.0003 flip=0.1893 amp=0.3307 val_score=1.14478 best=0.51357 centroid=1.000 falseS=0.648 massX=8.193 outsideT=9.381 recall=2.296 precision=0.221 bad=8 lr=1.80e-04 peak_mb=13830 elapsed=1771.1s
[A] epoch 34/150 loss=5.77470 rec=1.8274 bg=0.0101 sp=3.3140 ctr=0.1737 psf=-0.0992 ind=0.0003 flip=0.2205 amp=0.3278 val_score=1.06057 best=0.51357 centroid=1.000 falseS=0.558 massX=5.494 outsideT=6.400 recall=2.129 precision=0.270 bad=9 lr=1.79e-04 peak_mb=13830 elapsed=1824.7s
[A] epoch 35/150 loss=6.25370 rec=2.0849 bg=0.0100 sp=3.6315 ctr=0.1387 psf=-0.0994 ind=0.0004 flip=0.1807 amp=0.3068 val_score=1.14236 best=0.51357 centroid=1.000 falseS=0.798 massX=9.127 outsideT=11.764 recall=1.426 precision=0.129 bad=10 lr=1.77e-04 peak_mb=13830 elapsed=1878.6s
[A] epoch 36/150 loss=6.36083 rec=2.1228 bg=0.0117 sp=3.6511 ctr=0.1941 psf=-0.0993 ind=0.0004 flip=0.1707 amp=0.3093 val_score=1.16109 best=0.51357 centroid=1.000 falseS=0.768 massX=10.188 outsideT=12.527 recall=1.778 precision=0.148 bad=11 lr=1.76e-04 peak_mb=13830 elapsed=1931.7s
