B_energy,B_max,B_mean,B_min,B_std,R_energy,R_max,R_mean,R_min,R_std,S_energy,S_max,S_mean,S_min,S_std,T_psf_energy,T_psf_max,T_psf_mean,T_psf_min,T_psf_std,U_energy,U_max,U_mean,U_min,U_std,amplitude_centroid_mae,background_input_correlation,background_target_leakage,centroid_recall_5px,coverage_at_5px,dataset,gt_pixels,has_target,presence_at_centroid,presence_false_activation,psf_entropy_mean,psf_params,psf_residual_overlap,psf_usage,reconstruction_mae,reconstruction_psnr,residual_energy_ratio,residual_meaningful,residual_outside_fraction,residual_target_fraction,sample_id,source_false_activation,source_noncenter_mass_ratio,target_contrast_recall,target_energy_precision,target_outside_energy_ratio,target_proxy_energy,target_psf_zero,uncertainty_error_spearman
59597.32617696235,0.8371589183807373,0.2273457572058195,0.006880990695208311,0.0432215171861668,9.23790433077757,9.472031524637714e-05,3.523980839072254e-05,2.6161697836912736e-16,1.6801412441078846e-05,1.504866059110928,0.7923504114151001,5.7406084408223265e-06,2.5323891060632436e-26,0.0016237848246178225,24.075537909587105,0.6670141220092773,9.184088863215296e-05,3.6463861444180345e-12,0.004725865184840186,30147.979808364064,0.12069778144359589,0.1150054161390841,0.014692170545458794,0.003028854249643039,0.14303457736968994,0.3957436679132859,0.19684176296197056,1.0,1.0,irstd1k,37,True,1.0,0.23608953733471824,0.9719127372311505,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.0041052740266818745,"[0.21743757317108248, 0.1523078382329299, 0.13123870363809195, 0.10164748721638528, 0.15512002894746907, 0.24224836882390832]",0.11136807023748396,15.258574009644137,0.277302605480509,False,0.9997861413816912,9.559147952673062e-05,XDU189,0.11706740898843977,1.0973329315822562,1.9893216732425163,0.6388428753408423,1.1580829765801737,10.389054372906685,False,-0.5823410193365316
58708.844319933094,0.9350687265396118,0.2239564678952526,0.007026431616395712,0.045211559738223335,8.394520821380432,9.147715172730386e-05,3.202255562355206e-05,3.403769605410292e-16,1.4595678425490926e-05,0.8031230591433465,0.16076019406318665,3.063671337674509e-06,2.884377147154508e-26,0.00044473920594729355,12.849010999253224,0.1687553972005844,4.901508712483682e-05,3.945106463731918e-10,0.0015423105590041519,30139.576814282686,0.11866167932748795,0.11497336126053881,0.021784260869026184,0.0033302462116848305,0.14379794895648956,0.43315013245450007,1.2140327401825979,1.0,1.0,irstd1k,35,True,1.0,0.38245437664101406,0.9720755032783472,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.010559274330598755,"[0.21757448617654518, 0.15232202446735743, 0.13111006192281394, 0.10108219831181842, 0.15529198797123808, 0.24261924104439458]",0.11068753283143806,14.168500689360267,0.3951565536398664,False,0.9998178262376735,0.0002131197569081232,XDU935,0.37573696707541304,1.3480352900002064,0.9654501343277871,0.3790662074181475,1.774777190267316,7.432384669780731,False,-0.2920211406020319
59799.294393317774,0.8516451120376587,0.2281162048084937,0.00932392943650484,0.039635701944972415,9.405149332056295,9.258069621864706e-05,3.5877797439789944e-05,6.675252357975486e-15,1.2214964626010529e-05,0.6918953038683673,0.13436314463615417,2.639371123765439e-06,2.99473115803086e-24,0.00035620062051695605,11.069104354733486,0.1380823701620102,4.222528211491961e-05,1.861180792817052e-10,0.0012653256634728477,30123.319794578478,0.12127935886383057,0.11491134565192596,0.0219434704631567,0.003280456988898811,0.20842421613633633,0.2876890535846185,0.04323441074551559,1.0,1.0,irstd1k,37,True,1.0,0.23369590413379282,0.973129565589943,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.013680094579378825,"[0.21548494239286242, 0.1530962209784316, 0.1318592752898026, 0.10314188617168796, 0.15582920956208637, 0.24058846552219393]",0.5033146869864353,5.724432293914559,0.4593646965566615,False,0.9997406977074045,0.0003571058527465268,XDU672,0.3266144086365732,0.8814281567299638,0.7242884114487207,0.3656867184329521,1.377362762976164,9.428954660892487,False,-0.36388757785444076
57659.17591599189,0.7050026059150696,0.2199523007049251,0.005002263002097607,0.04537963418125288,8.325418215194198,0.00012018780398648232,3.175895010068587e-05,3.897503945694521e-15,2.1226389696219982e-05,5.376402738688986,0.798803448677063,2.0509348826175637e-05,1.479564439651052e-24,0.0030097095030307422,86.02165803233092,0.756156325340271,0.0003281465836804616,5.500752631171224e-10,0.00999028936869404,30109.44912915118,0.12037062644958496,0.11485843326244805,0.030294006690382957,0.0036056706569960197,0.589548896998167,0.41997648530878856,0.006694782281913726,0.6666666666666666,1.0,irstd1k,312,True,0.9979750116666158,0.10827149753402014,0.9713383039525638,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.004671739479895445,"[0.21801288631791493, 0.15129187454059098, 0.13039847529871207, 0.10164323216508464, 0.15419158906563976, 0.24446194254874598]",0.06405984813480003,21.30406632122766,0.08824246120093826,False,0.9977138281314231,0.00022968213232120894,XDU231,0.0322749677607193,1.3817432439570958,0.41956063258380943,0.8836685031415785,0.05556902414157839,197.5117751955986,False,-0.08208458027036743
59582.64548196597,0.3654443323612213,0.22728975479875935,0.0077316672541201115,0.03690877000625961,9.57564957814974,9.3499940703623e-05,3.6528204262351e-05,8.761638926180334e-16,1.245899556864449e-05,0.47004398473064285,0.029630770906805992,1.7930755032754625e-06,9.620560565193836e-26,9.831260838931118e-05,7.517651724278587,0.06809458136558533,2.8677565476526593e-05,9.647718735017463e-11,0.0005810269970981529,30178.549916479737,0.1198163628578186,0.11512203184692282,0.04530240595340729,0.0033601264460883253,0.1947224009782076,0.17544132811816157,0.0,0.0,1.0,irstd1k,20,True,0.9999997615814209,0.5947213552143791,0.9720115575606769,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.032578820549253526,"[0.2171949269891229, 0.15254610167579408, 0.13130110136201267, 0.10154570834041365, 0.1551786091344789, 0.24223355247630707]",0.5885320905146809,4.545189256681769,0.5601989579853361,False,0.9997791061868149,0.0009249643878821093,XDU818,0.6555239269064617,1.9630353139103665,0.6370515243429742,0.15238093499905364,4.0362163658367365,3.5896509885787964,False,-0.4745514911242747
59334.96175346756,0.9802144765853882,0.22634491635691667,0.005021281074732542,0.04128444616636617,8.79705916680941,8.917313243728131e-05,3.3558117549169196e-05,1.9972819844063668e-16,1.2112616424999996e-05,0.539608483032165,0.24945764243602753,2.058443004730854e-06,5.211842678740107e-24,0.0005170521599903354,8.632310485356527,0.26367202401161194,3.292965120451556e-05,3.5361155670265987e-10,0.001638289595556618,30130.850085789338,0.11952388286590576,0.11494007143321738,0.010411939583718777,0.0029772045145488478,0.008154615759849548,0.35909229076109933,1.2361446819539441,1.0,1.0,irstd1k,13,True,1.0,0.23935588984487607,0.9725429585256506,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.007103574167405188,"[0.21700114065129128, 0.15264866786840575, 0.13139515480685682, 0.10181116931179979, 0.15553911225562933, 0.24160475515327562]",0.07433843330546352,15.908548392165049,0.5047261801413573,False,0.9999684333649335,5.141311931219937e-05,XDU888,0.2724561440585036,1.2024334903412217,1.3989720230668157,0.3612080606328275,2.883754525524443,3.8608490228652954,False,-0.35854869547476703
58039.278816145845,0.7547066807746887,0.22140227819879854,0.010863061062991619,0.038134972518537,7.4211840837039365,8.36365288705565e-05,2.8309570631805178e-05,3.420040578931455e-15,1.3715184003804016e-05,17.465494184916793,0.9468206167221069,6.662557290999143e-05,9.979052980152801e-25,0.005214941672089385,224.3649842964389,1.0,0.0008558844920976216,6.641449612487804e-10,0.024563211369053893,30088.51829147339,0.11803103238344193,0.11477858845319133,0.024576863273978233,0.0033973456371890003,0.6417536288499832,0.211972748343636,0.2331370655163491,0.5,1.0,irstd1k,883,True,0.9967660307884216,0.05644902147071769,0.9728650133337169,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.001709962758827396,"[0.21640562743164082, 0.1526391480292822, 0.13081296688144206, 0.10190378754697527, 0.1556457326503251, 0.24259273730029207]",0.11974333766059786,18.203763419563604,0.03201737245827698,False,0.9982178920306565,5.938467509538068e-05,XDU146,0.005979896546979335,8.375640704843192,0.4961480695269007,0.9610400767281633,0.020117966609993793,448.8709774017334,False,0.5342616891537718
55105.17167756264,0.9649218320846558,0.2102095477201944,0.0038465524557977915,0.04496655159950555,6.333312304066841,7.894365262473002e-05,2.4159669128672948e-05,2.1333749003906133e-16,1.3825807742711614e-05,1.5696233315002055,0.6334832310676575,5.987637830735037e-06,1.4118727981336254e-23,0.001631836996864752,25.113123665500687,0.7699040770530701,9.579896417808795e-05,1.0676781680984959e-10,0.005422348923896062,30083.626190386713,0.11898034065961838,0.11475992656855283,0.010841736570000648,0.0033134519764699564,0.11839479207992554,0.6194109705443906,1.4497379687638434,1.0,1.0,irstd1k,24,True,1.0,0.18209329781096092,0.9712410740152109,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.0031859044831068386,"[0.2196764691751696, 0.15048516211779372, 0.13003730994490356, 0.0998084871203524, 0.15382443706202206, 0.2461681823780566]",0.19846642202028875,13.059365801995481,0.2014000031735215,False,0.9998467288518678,4.300943470878387e-05,XDU48,0.06324820744796078,1.2450691091004222,1.8761184503715618,0.7485683955238547,0.6572399773442821,12.03004705044441,False,0.06860438732254724
59082.21086471807,0.838565468788147,0.2253807482327197,0.007098007015883923,0.047142496600928036,9.230258412573939,9.626236715121195e-05,3.521064152745796e-05,2.896941088673577e-16,2.0168285251301672e-05,3.775401974001856,0.8816825151443481,1.4402015586860108e-05,2.2873818511508236e-26,0.002655474103626566,60.40431335825924,0.8207409381866455,0.00023042416899970717,1.754195955161464e-10,0.008584333669833043,30111.14961221628,0.11958791315555573,0.11486492009054672,0.019197816029191017,0.0031132843473840478,0.8431724347174168,0.44702776302342756,0.2233960475410565,1.0,1.0,irstd1k,116,True,1.0,0.14198683599745945,0.9722880885906307,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.004378718681425156,"[0.21701287774195066, 0.15225753235006345, 0.13127219697008394, 0.1021645318500859, 0.15515646293410698, 0.2421363981845417]",0.09441015040699519,17.272798343172244,0.13255281360745128,False,0.9989882916301678,0.00016535914725631883,XDU492,0.04743899542341093,2.0132616310628424,1.7984489903969856,0.8273320071423802,0.38290751989714117,31.400954842567444,False,-0.12069543629740451
55736.95309600048,0.6436806917190552,0.2126196025695819,0.016196193173527718,0.054675728368819815,6.403820481969956,0.00010311410733265802,2.442863648212416e-05,5.708820460630093e-14,1.7560577111384687e-05,1.7599741896766388,0.646208643913269,6.713768728930049e-06,1.721427654913049e-22,0.0015020899513161674,28.155068091268856,0.7081453800201416,0.00010740306126124899,2.4581531254952438e-11,0.0051367128403295706,30132.926654795185,0.120704784989357,0.11494799291532587,0.02983132004737854,0.003306507378472237,0.04130023717880249,0.8099067978899294,1.824578071024661,1.0,1.0,irstd1k,25,True,1.0,0.530203330290677,0.9693735578853193,"{""sigma_x"": [0.8923956155776978, 1.4720878601074219, 2.0943031311035156, 2.9742517471313477, 3.2003560066223145, 3.7930431365966797], ""sigma_y"": [3.792205333709717, 3.189108371734619, 2.646268844604492, 2.389824390411377, 1.4791748523712158, 0.9237034320831299], ""theta"": [-1.372332215309143, -0.7284063100814819, -0.08737291395664215, -0.4833446741104126, 0.7337241172790527, 1.3876426219940186]}",0.005359653639185214,"[0.22119597509330902, 0.14975414549875377, 0.12906299298701487, 0.09846956414418173, 0.15283243535458124, 0.24868488383742715]",0.2557836076781257,10.16682081708532,0.1853016907184003,False,0.9998137283480262,5.530264853004777e-05,XDU241,0.17040784698924347,1.84121353474969,2.2285898980662795,0.676209514128386,1.1561495748518027,9.678539494983852,False,-0.4907587801635054
