B_energy,B_max,B_mean,B_min,B_std,R_energy,R_max,R_mean,R_min,R_std,S_energy,S_max,S_mean,S_min,S_std,T_psf_energy,T_psf_max,T_psf_mean,T_psf_min,T_psf_std,U_energy,U_max,U_mean,U_min,U_std,background_input_correlation,background_target_leakage,centroid_recall_5px,dataset,gt_pixels,has_target,psf_entropy_mean,psf_params,psf_residual_overlap,psf_usage,reconstruction_mae,reconstruction_psnr,residual_energy_ratio,residual_outside_fraction,sample_id,source_false_activation,target_contrast_recall,target_energy_precision,target_proxy_energy,target_psf_zero,uncertainty_error_spearman
80362.54802245088,0.927473783493042,0.3065587921999011,0.013918783515691757,0.14762555169030633,105.66977155126233,0.36969777941703796,0.0004030981885958188,7.521954557887511e-06,0.005939665836762855,99.86553782917872,0.0016553292516618967,0.00038095679408713806,2.2643484044237994e-05,0.00014601351940868025,1579.8969595449162,0.010932717472314835,0.006026828611545243,0.0004534709732979536,0.0021789437722669934,57598.12985058129,0.448923259973526,0.21971942844612613,0.19167093932628632,0.009553444592597844,0.9989599154159611,0.37154955102063836,0.0,irstd1k,37,True,0.8579599809682463,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.0396698310743247,"[0.09408633731639782, 0.08369778067193767, 0.42179913998148777, 0.16970411291269238, 0.053783946512196756, 0.17692868263061]",0.014622428758240602,36.07441678461499,0.0626909451888279,0.9996858941590046,XDU189,0.9993508785820063,0.10110154839031049,0.0006231432218224406,10.389054372906685,False,-0.06420844961312114
62977.066595886834,0.9327709674835205,0.24023844374041303,0.007049742620438337,0.19677870517569399,57.983595607453935,0.4752635061740875,0.0002211898636148603,7.96430504124146e-06,0.002371065263182374,83.44233778746548,0.0017079031094908714,0.00031830725779520216,1.4493563867290504e-05,0.00017445790854383192,1318.7872153356439,0.01335989497601986,0.005030773984282089,0.00035383255453780293,0.0026886651800569154,59000.653473973274,0.5465015172958374,0.225069631477254,0.14482074975967407,0.011444640129826631,0.9993799961655545,0.5750328163446018,0.0,irstd1k,35,True,0.8789807712874733,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.12300746159512921,"[0.10414389864268969, 0.09332777791316738, 0.3874726149631851, 0.16970494926752, 0.0596798753123986, 0.1856708839128931]",0.020572551257844296,32.90187182634161,0.04211564854990989,0.9996667669952198,XDU935,0.9992377362286862,0.136292131084439,0.000735761927571543,7.432384669780731,False,0.4932308456517336
174904.67404508684,0.8415804505348206,0.6672083818248247,0.003006364917382598,0.14225701099926769,49.74166484349189,0.19302783906459808,0.0001897493928661037,1.034350020745478e-06,0.0013335331583419683,227.5753349582286,0.0026102804113179445,0.0008681310079888481,5.027300176152494e-07,0.00019373762378701697,3606.375397568554,0.018639972433447838,0.013757230367922035,0.00010466506500961259,0.0027818373855276394,61278.07810145989,0.33858659863471985,0.23375731697639424,0.00810487661510706,0.01249018847973167,0.9983173359731202,0.006572029999391434,0.0,irstd1k,37,True,0.8690378454465275,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.12639809786835446,"[0.08952389582697151, 0.0909347650044271, 0.40056300976598713, 0.14374138286942334, 0.05061772057163165, 0.2246192259072426]",0.04341026143874238,26.978995131876285,0.01360505257199721,0.8804833675059784,XDU672,0.9994889043728769,0.8474877212076776,0.0021856311388614128,9.428954660892487,False,0.6884037002885418
49824.37409703387,0.5916244983673096,0.19006490362943218,0.007663829252123833,0.0856527280546293,183.22882952858026,0.8141186237335205,0.0006989625149863444,6.669383765256498e-06,0.016768628796315074,74.29209886329545,0.001254197210073471,0.0002834018663913553,1.9794028958131094e-06,0.00014535694894794504,1171.6208287956397,0.01013764925301075,0.004469378771956023,9.145035437541083e-05,0.0021143165390117968,58439.123725786805,0.6304394602775574,0.22292756548228,0.136186882853508,0.014789258298125751,0.9740673828635782,0.009511145542133436,0.0,irstd1k,312,True,0.8719155343325156,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.01521323394346729,"[0.09302793239645268, 0.08935752625759993, 0.413454345140984, 0.17269957964706903, 0.058096645241502765, 0.17336397145072577]",0.021135728365603512,32.34772644558813,0.13523923366907845,0.1864808780985649,XDU231,0.9983659780259923,0.7665756189678533,0.11175240765184084,197.5117751955986,False,0.7676631222807118
199145.0251466427,0.9215503931045532,0.7596779828897198,0.025005081668496132,0.06032920798763635,46.32757496783415,0.006391493603587151,0.00017672567355283414,2.3171915017883293e-05,0.00015211096386661243,264.1207304294112,0.0031263092532753944,0.0010075406281639526,4.660283957491629e-05,0.00012306084760259386,4179.118004075484,0.02139182575047016,0.015942070022870958,0.003221726743504405,0.0009996349638687685,62498.0840267539,0.34729960560798645,0.2384112702436596,0.19042712450027466,0.010075114310849077,0.9863978673275516,0.006931880543335047,0.0,irstd1k,20,True,0.8731999752985757,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.7544534792376524,"[0.09355774633027636, 0.09195475873674752, 0.39040550119223383, 0.1372777639362397, 0.049906232609870926, 0.23689799707767634]",0.040103613841409924,27.60301109261072,0.010963950215712674,0.9992480358753794,XDU818,0.9995128599335227,0.5808033612716516,0.0004934110074210704,3.5896509885787964,False,0.7710554050577046
66306.70869903872,0.9320225119590759,0.2529400203668164,0.004614860750734806,0.14983950572466215,45.04789426694015,0.05319865420460701,0.0001718440790822607,5.425839844974689e-06,0.000695120597702338,86.54518905977602,0.0012401543790474534,0.00033014369605932625,9.212822988047265e-06,0.00010392993068228603,1370.7962703907106,0.011954104527831078,0.005229172784388392,0.00028475566068664193,0.0015867013300756377,58239.25197419524,0.36353927850723267,0.22216511525800797,0.21461403369903564,0.007705854716164634,0.999266936898528,0.5205685517425446,0.0,irstd1k,13,True,0.8711411510091693,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.2743757809654437,"[0.10150946176815978, 0.08847130145548476, 0.4037496124638835, 0.17388135875913235, 0.0583382464094413, 0.17405001924842622]",0.022959024475099454,31.887256743995053,0.031816986213191525,0.9996219178201359,XDU888,0.9994684388049876,0.18968634268521242,0.0005172534867099413,3.8608490228652954,False,0.2378268153239862
25433.448570885696,0.45894843339920044,0.09702090671877173,0.014316769316792488,0.03733868048604508,232.34967249322108,0.9239054918289185,0.0008863436603287547,1.2105087080271915e-05,0.020626523734406012,43.86255401777203,0.0008597570704296231,0.0001673223648749238,3.535668611220899e-06,7.832419483498321e-05,691.8995818671829,0.007950312457978725,0.0026393874430358233,0.0001241994759766385,0.0011739505268294993,59010.348347872496,0.7436011433601379,0.22510661448620795,0.1906479448080063,0.020496069488915865,0.8882569477734477,0.3049594850874425,0.0,irstd1k,883,True,0.8850035458149783,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.01683126583896774,"[0.09791945307532046, 0.09200264494051225, 0.3976920470595111, 0.17531732692675017, 0.06100364946095139, 0.17606487847692426]",0.008916074196875456,38.57126329371583,0.2513928698314298,0.10546530076544862,XDU146,0.9945072468305615,0.47169927902613656,0.2290855149920322,448.8709774017334,False,0.2125318882197176
21679.53344164093,0.9879823923110962,0.0827008569398534,0.00034523001522757113,0.19587906633121419,73.02492049809234,0.12567126750946045,0.00027856796454655587,6.212889729795279e-06,0.001211144593730465,66.65380939300985,0.002634466392919421,0.0002542641044350046,3.2106081562233157e-06,0.0005594344546264458,1048.451585700779,0.04024062305688858,0.003999525397112957,0.00012735456402879208,0.008756904429990471,63472.0294867605,0.6734438538551331,0.24212657732681464,0.11222164332866669,0.031501077326918724,0.9965165450950134,0.2571359444841324,0.0,irstd1k,24,True,0.9268972944475138,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.5185438364096561,"[0.11844522492450693, 0.11299545665355204, 0.3355619488640045, 0.18610342202724217, 0.0768108072469551, 0.17008315215734804]",0.0072871731344208435,34.940295315003624,0.06511498020195068,0.9997705837993273,XDU48,0.9998611742505953,0.012656164166017959,0.00013576231829536456,12.03004705044441,False,0.579494703310036
52211.98835940566,0.9166199564933777,0.1991729292274691,0.00796273723244667,0.1423733177623844,165.88430423897807,0.6941394209861755,0.0006327984017905353,6.058635335648432e-06,0.011024219028119593,76.00700523492105,0.0015889134956523776,0.0002899437150379984,1.3540017789637204e-05,0.0001846062913312211,1198.1307288240932,0.013168347999453545,0.004570506015106557,0.00027801579562947154,0.0028114767321882747,58975.87929763645,0.6664895415306091,0.2249751254945238,0.11266907304525375,0.015835543103170605,0.9955899807982688,0.4365252699437901,0.0,irstd1k,116,True,0.8778300211217882,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.03995269444927769,"[0.0985113149080945, 0.09192825472456506, 0.3981470829472933, 0.1716052715690538, 0.05926181603909447, 0.1805462597941898]",0.016151895588890852,34.561163556972055,0.12161471847305343,0.9995446816940848,XDU492,0.9983578840287083,0.0647000875510362,0.0014894590442584262,31.400954842567444,False,0.5694729324377407
48501.652301313676,0.8929663300514221,0.18501912041211577,0.00037721404805779457,0.32091172282318325,63.05308869047485,0.009017730131745338,0.00024052844501676503,7.190772066678619e-06,0.00041165830922410137,129.17661370759606,0.0028022537007927895,0.0004927696750930636,3.3797034575400176e-06,0.0008127856197005201,2037.8388718964416,0.03611099720001221,0.00777373837240769,0.00011820510553661734,0.012775255875539557,65171.306231841445,0.3957252502441406,0.24860880367981508,0.19813041388988495,0.028498502759972393,0.9980625075632703,0.4975328362099595,0.0,irstd1k,25,True,0.9380282503195758,"{""sigma_x"": [0.8504238128662109, 1.36187744140625, 1.888975739479065, 2.472691535949707, 3.1302337646484375, 3.6905064582824707], ""sigma_y"": [3.7684383392333984, 3.1161046028137207, 2.472801685333252, 2.0110955238342285, 1.3855102062225342, 0.8323006629943848], ""theta"": [-1.0224742889404297, -0.6199566125869751, 0.2265874147415161, 0.11684358865022659, 0.8152628540992737, 1.1148988008499146]}",0.8482806590204843,"[0.12595590388966116, 0.11901323123817065, 0.31489976395059216, 0.1728019057672583, 0.07914784192243474, 0.1881814112147424]",0.014662527599628827,30.467978942376476,0.030012532711515542,0.9996713862585519,XDU241,0.9998598527396763,0.028754527459828618,0.00013246841574937585,9.678539494983852,False,0.7197515249995534
